Title,Company,Score,Link
Chief Technology Officer,Confidential,100,https://www.linkedin.com/jobs/view/4330142969
"Product Technical Architect, CTO Office",Wiz,95,https://www.linkedin.com/jobs/view/4344996098
CTO / Head of AI,StarHunter,75,https://www.linkedin.com/jobs/view/4352552335
